WFPS,%NO,%N2O,%N2,total
0,1,0,0,1
0.05,0.95,0.05,0,1
0.1,0.9,0.1,0,1
0.15,0.85,0.15,0,1
0.2,0.84,0.16,0,1
0.25,0.83,0.17,0,1
0.3,0.81,0.18,0.01,1
0.35,0.79,0.2,0.01,1
0.4,0.75,0.22,0.03,1
0.45,0.71,0.24,0.05,1
0.5,0.66,0.27,0.07,1
0.55,0.59,0.3,0.11,1
0.6,0.5,0.34,0.16,1
0.65,0.37,0.39,0.24,1
0.7,0.2,0.43,0.37,1
0.75,0.07,0.44,0.49,1
0.8,0,0.4,0.6,1
0.85,0,0.3,0.7,1
0.9,0,0.2,0.8,1
0.95,0,0.1,0.9,1
1,0,0,1,1
